tokenizer,S,rho,n_wm,n_nwm,tpr,tpr_lo,tpr_hi,fpr,fpr_lo,fpr_hi,wm_score_mean,nwm_score_mean,expected_random_baseline
meta-llama/Llama-3.1-8B-Instruct,7,0.0,173,173,1.0,0.9782773855954833,0.9999999999999999,0.0,0.0,0.02172261440451652,0.9908262575968348,0.2901348747591522,0.2857142857142857
mistralai/Mistral-7B-Instruct-v0.3,7,0.0,173,173,0.023121387283236993,0.009027339055390503,0.057933535954697496,0.0,0.0,0.02172261440451652,0.30403097402215,0.2902457429112667,0.2857142857142857
gpt2-xl,7,0.0,173,173,0.017341040462427744,0.005914752805222814,0.04973655705347232,0.0,0.0,0.02172261440451652,0.2971654249104385,0.28181159569912767,0.2857142857142857
